ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,absFC,SignificantPval,SignificantLogFC,chromosome_name,start_position,end_position,strand,gene_biotype,external_gene_name,description
ENSMUSG00000027342,5613.502052,1.653728439,0.051552379,32.07860568,8.77E-226,1.87E-221,1.653728439,TRUE,TRUE,2,132091082,132095234,-1,protein_coding,Pcna,proliferating cell nuclear antigen [Source:MGI Symbol;Acc:MGI:97503]
ENSMUSG00000040204,1668.416284,3.69380532,0.117647667,31.39718301,2.21E-216,2.35E-212,3.69380532,TRUE,TRUE,9,65797519,65810548,1,protein_coding,Pclaf,PCNA clamp associated factor [Source:MGI Symbol;Acc:MGI:1915276]
ENSMUSG00000005470,877.8073795,3.098214565,0.102575255,30.20430776,2.08E-200,1.48E-196,3.098214565,TRUE,TRUE,8,84682136,84696826,1,protein_coding,Asf1b,anti-silencing function 1B histone chaperone [Source:MGI Symbol;Acc:MGI:1914179]
ENSMUSG00000020649,2250.368071,3.266094721,0.109356908,29.86637785,5.38E-196,2.86E-192,3.266094721,TRUE,TRUE,12,24758240,24764145,1,protein_coding,Rrm2,ribonucleotide reductase M2 [Source:MGI Symbol;Acc:MGI:98181]
ENSMUSG00000026355,2275.79141,2.944522895,0.105446532,27.92432189,1.35E-171,5.76E-168,2.944522895,TRUE,TRUE,1,128259327,128287401,-1,protein_coding,Mcm6,minichromosome maintenance complex component 6 [Source:MGI Symbol;Acc:MGI:1298227]
ENSMUSG00000041859,2063.88846,2.3570033,0.08618225,27.34905731,1.11E-164,3.93E-161,2.3570033,TRUE,TRUE,1,20873192,20890536,-1,protein_coding,Mcm3,minichromosome maintenance complex component 3 [Source:MGI Symbol;Acc:MGI:101845]
ENSMUSG00000012443,1380.776837,2.972251547,0.109372262,27.17555157,1.26E-162,3.84E-159,2.972251547,TRUE,TRUE,19,37364851,37410307,1,protein_coding,Kif11,kinesin family member 11 [Source:MGI Symbol;Acc:MGI:1098231]
ENSMUSG00000025395,519.0600102,2.395449773,0.089144642,26.87149462,4.73E-159,1.26E-155,2.395449773,TRUE,TRUE,10,127851037,127865906,1,protein_coding,Prim1,"DNA primase, p49 subunit [Source:MGI Symbol;Acc:MGI:97757]"
ENSMUSG00000001228,1677.883584,3.419556095,0.129981157,26.30809098,1.55E-152,3.66E-149,3.419556095,TRUE,TRUE,17,56610321,56630486,1,protein_coding,Uhrf1,"ubiquitin-like, containing PHD and RING finger domains, 1 [Source:MGI Symbol;Acc:MGI:1338889]"
ENSMUSG00000028702,446.0716456,3.578055511,0.137402135,26.04075636,1.71E-149,3.64E-146,3.578055511,TRUE,TRUE,4,115951461,115980887,-1,protein_coding,Rad54l,RAD54 like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:894697]
ENSMUSG00000027326,757.4235005,2.630064163,0.101934209,25.80158496,8.51E-147,1.65E-143,2.630064163,TRUE,TRUE,2,118877600,118935982,1,protein_coding,Knl1,kinetochore scaffold 1 [Source:MGI Symbol;Acc:MGI:1923714]
ENSMUSG00000030978,2742.602805,2.608563136,0.103330876,25.2447596,1.29E-140,2.29E-137,2.608563136,TRUE,TRUE,7,102090902,102118978,1,protein_coding,Rrm1,ribonucleotide reductase M1 [Source:MGI Symbol;Acc:MGI:98180]
ENSMUSG00000028312,1943.707072,2.48471983,0.100266403,24.78118044,1.43E-135,2.34E-132,2.48471983,TRUE,TRUE,4,52439243,52488260,1,protein_coding,Smc2,structural maintenance of chromosomes 2 [Source:MGI Symbol;Acc:MGI:106067]
ENSMUSG00000036768,840.8251944,2.873197462,0.117347086,24.48460843,2.15E-132,3.28E-129,2.873197462,TRUE,TRUE,9,122780111,122847798,1,protein_coding,Kif15,kinesin family member 15 [Source:MGI Symbol;Acc:MGI:1098258]
ENSMUSG00000021707,340.0137415,2.97191355,0.123997839,23.96746246,6.08E-127,8.62E-124,2.97191355,TRUE,TRUE,13,92491234,92525561,1,protein_coding,Dhfr,dihydrofolate reductase [Source:MGI Symbol;Acc:MGI:94890]
ENSMUSG00000022673,1802.455092,1.908038387,0.079759858,23.92228915,1.80E-126,2.39E-123,1.908038387,TRUE,TRUE,16,15441761,15455264,-1,protein_coding,Mcm4,minichromosome maintenance complex component 4 [Source:MGI Symbol;Acc:MGI:103199]
ENSMUSG00000005410,1484.613365,2.894737312,0.121642372,23.79711336,3.58E-125,4.23E-122,2.894737312,TRUE,TRUE,8,75836197,75855067,1,protein_coding,Mcm5,minichromosome maintenance complex component 5 [Source:MGI Symbol;Acc:MGI:103197]
ENSMUSG00000042029,1368.628602,2.563582592,0.107724233,23.79764068,3.53E-125,4.23E-122,2.563582592,TRUE,TRUE,12,116369022,116427351,1,protein_coding,Ncapg2,"non-SMC condensin II complex, subunit G2 [Source:MGI Symbol;Acc:MGI:1923294]"
ENSMUSG00000028832,3503.411948,2.622774297,0.112647785,23.28296378,6.60E-120,7.39E-117,2.622774297,TRUE,TRUE,4,134195631,134201154,1,protein_coding,Stmn1,stathmin 1 [Source:MGI Symbol;Acc:MGI:96739]
ENSMUSG00000037313,1095.47513,2.599155892,0.111699498,23.26918142,9.10E-120,9.68E-117,2.599155892,TRUE,TRUE,5,33815472,33836339,1,protein_coding,Tacc3,"transforming, acidic coiled-coil containing protein 3 [Source:MGI Symbol;Acc:MGI:1341163]"
ENSMUSG00000056394,1331.438127,3.026625119,0.130627502,23.169892,9.16E-119,9.29E-116,3.026625119,TRUE,TRUE,7,13011239,13045350,1,protein_coding,Lig1,"ligase I, DNA, ATP-dependent [Source:MGI Symbol;Acc:MGI:101789]"
ENSMUSG00000120992,1258.245548,2.505823098,0.108492969,23.09664044,5.00E-118,4.84E-115,2.505823098,TRUE,TRUE,17,35215654,35219393,-1,lncRNA,,novel transcript
ENSMUSG00000028873,629.1480365,2.845811108,0.124564643,22.84605834,1.60E-115,1.48E-112,2.845811108,TRUE,TRUE,4,124812258,124833104,-1,protein_coding,Cdca8,cell division cycle associated 8 [Source:MGI Symbol;Acc:MGI:1196274]
ENSMUSG00000007080,662.4052126,2.560779783,0.112241214,22.81496862,3.26E-115,2.89E-112,2.560779783,TRUE,TRUE,5,110434172,110485340,1,protein_coding,Pole,"polymerase (DNA directed), epsilon [Source:MGI Symbol;Acc:MGI:1196391]"
ENSMUSG00000073409,624.4477052,-3.091982219,0.135939376,-22.7453024,1.60E-114,1.36E-111,3.091982219,TRUE,TRUE,17,35643826,35649031,1,protein_coding,H2-Q6,"histocompatibility 2, Q region locus 6 [Source:MGI Symbol;Acc:MGI:95935]"
ENSMUSG00000026196,286.0848136,3.232997099,0.142893168,22.62527421,2.44E-113,2.00E-110,3.232997099,TRUE,TRUE,1,71066657,71142305,-1,protein_coding,Bard1,BRCA1 associated RING domain 1 [Source:MGI Symbol;Acc:MGI:1328361]
ENSMUSG00000026683,656.2680728,2.8913941,0.127854264,22.61476467,3.10E-113,2.45E-110,2.8913941,TRUE,TRUE,1,169325503,169359033,-1,protein_coding,Nuf2,"NUF2, NDC80 kinetochore complex component [Source:MGI Symbol;Acc:MGI:1914227]"
ENSMUSG00000031004,8580.784356,2.806960299,0.12570162,22.3303431,1.87E-110,1.43E-107,2.806960299,TRUE,TRUE,7,135291513,135318090,-1,protein_coding,Mki67,antigen identified by monoclonal antibody Ki 67 [Source:MGI Symbol;Acc:MGI:106035]
ENSMUSG00000069793,1049.514438,2.750416498,0.123790991,22.21822835,2.29E-109,1.68E-106,2.750416498,TRUE,TRUE,11,82869216,82882656,-1,protein_coding,Slfn9,schlafen 9 [Source:MGI Symbol;Acc:MGI:2445121]
ENSMUSG00000047534,485.2692036,2.586507999,0.117141203,22.08025819,4.89E-108,3.47E-105,2.586507999,TRUE,TRUE,12,65179508,65219378,-1,protein_coding,Mis18bp1,MIS18 binding protein 1 [Source:MGI Symbol;Acc:MGI:2145099]
ENSMUSG00000006678,842.1119093,2.057353817,0.093847925,21.92220886,1.60E-106,1.10E-103,2.057353817,TRUE,TRUE,X,92348373,92675761,-1,protein_coding,Pola1,"polymerase (DNA directed), alpha 1 [Source:MGI Symbol;Acc:MGI:99660]"
ENSMUSG00000002870,1508.272658,2.591084921,0.118602004,21.8468898,8.32E-106,5.53E-103,2.591084921,TRUE,TRUE,6,88860456,88875762,-1,protein_coding,Mcm2,minichromosome maintenance complex component 2 [Source:MGI Symbol;Acc:MGI:105380]
ENSMUSG00000020914,5432.375624,2.96820029,0.137205891,21.63318398,8.75E-104,5.65E-101,2.96820029,TRUE,TRUE,11,98883769,98915015,-1,protein_coding,Top2a,topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790]
ENSMUSG00000066551,4632.983988,1.610139442,0.074507188,21.61052495,1.43E-103,8.95E-101,1.610139442,TRUE,TRUE,5,148983512,149121299,-1,protein_coding,Hmgb1,high mobility group box 1 [Source:MGI Symbol;Acc:MGI:96113]
ENSMUSG00000029730,2100.224846,2.328844103,0.108510168,21.46198972,3.53E-102,2.15E-99,2.328844103,TRUE,TRUE,5,138162845,138170684,-1,protein_coding,Mcm7,minichromosome maintenance complex component 7 [Source:MGI Symbol;Acc:MGI:1298398]
ENSMUSG00000028693,1281.886863,1.740058036,0.081244583,21.41752688,9.17E-102,5.42E-99,1.740058036,TRUE,TRUE,4,116458249,116485138,-1,protein_coding,Nasp,nuclear autoantigenic sperm protein (histone-binding) [Source:MGI Symbol;Acc:MGI:1355328]
ENSMUSG00000027715,1641.355259,3.085295538,0.144484122,21.35387265,3.59E-101,2.06E-98,3.085295538,TRUE,TRUE,3,36619014,36626299,-1,protein_coding,Ccna2,cyclin A2 [Source:MGI Symbol;Acc:MGI:108069]
