ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,absFC,SignificantPval,SignificantLogFC,chromosome_name,start_position,end_position,strand,gene_biotype,external_gene_name,description
ENSMUSG00000005043,213.0364896,4.073939894,0.196164032,20.7680269,8.42E-96,1.74E-91,4.073939894,TRUE,TRUE,11,119234251,119246362,-1,protein_coding,Sgsh,N-sulfoglucosamine sulfohydrolase (sulfamidase) [Source:MGI Symbol;Acc:MGI:1350341]
ENSMUSG00000073409,624.4477052,2.418916843,0.134516173,17.98234958,2.68E-72,2.77E-68,2.418916843,TRUE,TRUE,17,35643826,35649031,1,protein_coding,H2-Q6,"histocompatibility 2, Q region locus 6 [Source:MGI Symbol;Acc:MGI:95935]"
ENSMUSG00000049404,194.7649534,3.436497243,0.197869833,17.36746425,1.46E-67,1.00E-63,3.436497243,TRUE,TRUE,3,67386305,67422856,-1,protein_coding,Rarres1,retinoic acid receptor responder (tazarotene induced) 1 [Source:MGI Symbol;Acc:MGI:1924461]
ENSMUSG00000035929,1559.952445,1.314010376,0.082554559,15.91687226,4.84E-57,2.50E-53,1.314010376,TRUE,TRUE,17,35598593,35604266,1,protein_coding,H2-Q4,"histocompatibility 2, Q region locus 4 [Source:MGI Symbol;Acc:MGI:95933]"
ENSMUSG00000027199,361.6625383,3.177795042,0.199984217,15.89022921,7.41E-57,3.06E-53,3.177795042,TRUE,TRUE,2,122424948,122441784,-1,protein_coding,Gatm,glycine amidinotransferase (L-arginine:glycine amidinotransferase) [Source:MGI Symbol;Acc:MGI:1914342]
ENSMUSG00000020077,1662.202408,1.842780335,0.117560486,15.67516772,2.24E-55,7.70E-52,1.842780335,TRUE,TRUE,10,62329612,62363230,-1,protein_coding,Srgn,serglycin [Source:MGI Symbol;Acc:MGI:97756]
ENSMUSG00000067235,487.9660827,4.279810367,0.27915077,15.33153701,4.71E-53,1.39E-49,4.279810367,TRUE,TRUE,17,35780986,35785460,1,protein_coding,H2-Q10,"histocompatibility 2, Q region locus 10 [Source:MGI Symbol;Acc:MGI:95929]"
ENSMUSG00000041992,183.23335,4.397820842,0.294244346,14.94615242,1.65E-50,3.79E-47,4.397820842,TRUE,TRUE,12,117480099,117723472,1,protein_coding,Rapgef5,Rap guanine nucleotide exchange factor (GEF) 5 [Source:MGI Symbol;Acc:MGI:2444365]
ENSMUSG00000070713,270.139724,2.886675291,0.19343861,14.92295303,2.34E-50,4.83E-47,2.886675291,TRUE,TRUE,8,73057954,73059104,-1,protein_coding,Hmgn2-ps,"high mobility group nucleosomal binding domain 2, pseudogene [Source:MGI Symbol;Acc:MGI:3704312]"
ENSMUSG00000098188,1977.383932,-1.432969863,0.099343993,-14.42432325,3.64E-47,6.83E-44,1.432969863,TRUE,TRUE,10,59057775,59062256,1,protein_coding,Sowahc,sosondowah ankyrin repeat domain family member C [Source:MGI Symbol;Acc:MGI:3606051]
ENSMUSG00000037266,5029.127552,-1.395539999,0.097097629,-14.37254456,7.70E-47,1.33E-43,1.395539999,TRUE,TRUE,4,134650903,134654982,1,protein_coding,Rsrp1,arginine/serine rich protein 1 [Source:MGI Symbol;Acc:MGI:106498]
ENSMUSG00000024677,118.3788172,3.051091977,0.215113147,14.18366113,1.16E-45,1.84E-42,3.051091977,TRUE,TRUE,19,11493876,11508620,1,protein_coding,Ms4a6b,"membrane-spanning 4-domains, subfamily A, member 6B [Source:MGI Symbol;Acc:MGI:1917024]"
ENSMUSG00000002100,161.5000097,2.160579749,0.154617369,13.97371955,2.26E-44,3.33E-41,2.160579749,TRUE,TRUE,2,90948489,90966861,1,protein_coding,Mybpc3,"myosin binding protein C, cardiac [Source:MGI Symbol;Acc:MGI:102844]"
ENSMUSG00000052056,1758.565808,-1.14786406,0.084406037,-13.59931231,4.04E-42,5.57E-39,1.14786406,TRUE,TRUE,2,169950563,169990023,-1,protein_coding,Zfp217,zinc finger protein 217 [Source:MGI Symbol;Acc:MGI:2685408]
ENSMUSG00000028680,3804.777839,1.963495761,0.145421216,13.50212723,1.52E-41,1.96E-38,1.963495761,TRUE,TRUE,4,116985852,116991160,-1,protein_coding,Plk3,polo like kinase 3 [Source:MGI Symbol;Acc:MGI:109604]
ENSMUSG00000024732,1894.497459,1.356934565,0.101344369,13.38934344,6.98E-41,8.48E-38,1.356934565,TRUE,TRUE,19,10918845,10926630,-1,protein_coding,Ccdc86,coiled-coil domain containing 86 [Source:MGI Symbol;Acc:MGI:1277220]
ENSMUSG00000029449,803.7019286,1.357685381,0.101605935,13.3622645,1.00E-40,1.15E-37,1.357685381,TRUE,TRUE,5,123241107,123270755,-1,protein_coding,Rhof,ras homolog family member F (in filopodia) [Source:MGI Symbol;Acc:MGI:1345629]
